Function Name,Tcycle,Count,Tcycle_per_Count
local_multiple_mult_q15,0,0,
local_multiple_sub_q15,0,0,
local_1_minor_z_q15,0,0,
io_list_delete,0,0,
find_last,0,0,
model_add,0,0,
nnom_mem_stat,0,0,
model_mergex,0,0,
model_merge,0,0,
model_delete,0,0,
nnom_io_length,0,0,
nnom_hook_length,0,0,
sequencial_compile,0,0,
model_run,0,1,0.0
model_set_callback,0,0,
model_delete_callback,0,0,
shape_size,0,0,
border,0,0,
io_add_aux,0,0,
tensor_size_byte,0,0,
delete_tensor,0,0,
tensor_hwc2chw_q7,0,0,
tensor_chw2hwc_q7,0,0,
hwc2chw_q7,0,0,
chw2hwc_q7,0,0,
prediction_create,0,0,
prediction_run,0,0,
prediction_end,0,0,
prediction_delete,0,0,
prediction_matrix,0,0,
prediction_top_k,0,0,
prediction_summary,0,0,
model_stat,0,0,
model_io_format,0,0,
activation_free,0,0,
leaky_relu_run,0,0,
adv_relu_run,0,0,
tanh_run,0,0,
sigmoid_run,0,0,
hard_tanh_run,0,0,
hard_sigmoid_run,0,0,
Activation,0,0,
act_delete,0,0,
ReLU,0,0,
act_leaky_relu,0,0,
LeakyReLU,0,0,
act_adv_relu,0,0,
AdvReLU,0,0,
act_tanh,0,0,
TanH,0,0,
act_sigmoid,0,0,
Sigmoid,0,0,
act_hard_tanh,0,0,
act_hard_sigmoid,0,0,
act_tensor_run,0,0,
activation_run,0,0,
avgpool_build,0,0,
avgpool_run,0,0,
AvgPool,0,0,
avgpool_s,0,0,
default_run,0,0,
BaseLayer,0,0,
baselayer_s,0,0,
concat_build,0,0,
concat_run,0,0,
Concat,0,0,
concat_s,0,0,
conv2d_free,0,0,
Conv2D,0,0,
conv2d_trans_build,0,0,
conv2d_trans_run,0,0,
conv2d_trans_s,0,0,
Conv2DTrans,0,0,
conv_trans_output_length,0,0,
cropping_build,0,0,
cropping_run,0,0,
Cropping,0,0,
cropping_s,0,0,
dense_free,0,0,
Dense,0,0,
dw_conv2d_build,0,0,
dw_conv2d_run,0,0,
dw_conv2d_s,0,0,
DW_Conv2D,0,0,
global_pool_build,0,0,
GlobalMaxPool,0,0,
global_maxpool_s,0,0,
GlobalAvgPool,0,0,
global_avgpool_s,0,0,
GlobalSumPool,0,0,
global_sumpool_s,0,0,
