Function Name,Start Address,Return Addresses
tensor_get_num_channel,10e2f0    ,10e304
new_tensor          ,10e308    ,10e368
delete_tensor       ,10e3dc    ,10e3e4
tensor_set_attr_v   ,10e3e8    ,10e454
tensor_set_attr     ,10e458    ,10e4f0
tensor_cpy_attr     ,10e4f4    ,10e590
tensor_hwc2chw_q7   ,10e59c    ,10e5b4
tensor_chw2hwc_q7   ,10e618    ,10e640
hwc2chw_q7          ,10e6a0    ,10e6c8
chw2hwc_q7          ,10e720    ,10e760
prediction_create   ,10e7b4    ,10e8d0
prediction_run      ,10e8d4    ,"10e9fc, 10ea58"
prediction_end      ,10ea5c    ,10ea6c
prediction_delete   ,10ea70    ,10eaa8
prediction_matrix   ,10eaac    ,10eaac
prediction_top_k    ,10eab0    ,10eab0
prediction_summary  ,10eab4    ,10eab4
nnom_predict        ,10eab8    ,10ebcc
model_stat          ,10ebd8    ,10ebec
model_io_format     ,10ebf0    ,10ec04
activation_free     ,10ec08    ,"10ec28, 10ec30"
relu_run            ,10ec34    ,10ec74
leaky_relu_run      ,10ec8c    ,10ecdc
adv_relu_run        ,10ecf8    ,10ee54
tanh_run            ,10ef58    ,10efb4
sigmoid_run         ,10efd8    ,10f034
hard_tanh_run       ,10f058    ,10f0ac
hard_sigmoid_run    ,10f0c8    ,10f11c
Activation          ,10f138    ,10f1c8
act_delete          ,10f1cc    ,
act_relu            ,10f1d0    ,10f200
ReLU                ,10f204    ,10f228
act_leaky_relu      ,10f22c    ,10f290
LeakyReLU           ,10f294    ,10f2b8
act_adv_relu        ,10f2bc    ,10f340
AdvReLU             ,10f344    ,10f368
act_tanh            ,10f36c    ,10f3ac
TanH                ,10f3b0    ,10f3d4
act_sigmoid         ,10f3d8    ,10f418
Sigmoid             ,10f41c    ,10f440
act_hard_tanh       ,10f444    ,10f484
act_hard_sigmoid    ,10f488    ,10f4c8
act_get_dec_bit     ,10f4cc    ,10f4e0
act_tensor_run      ,10f4e4    ,
activation_run      ,10f4f0    ,
avgpool_build       ,10f500    ,10f518
